,ANO_BO,NUM_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,BO_AUTORIA,FLAGRANTE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO
67016,2017,4259,2017-11-09 08:20:55,2017-11-09 08:44:27,2017-11-09 00:00:00,DE MADRUGADA,2017-11-09 00:00:00,Desconhecida,Não,RUA DAS OLIVEIRAS,36.0,PORTAL D OESTE,OSASCO,SP,"-234,871,380,779,999","-467,967,519,439,999",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,10º D.P. OSASCO,10º D.P. OSASCO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BMP3778,SP,OSASCO,Preta,IMP/VW POINTER 1.8I,1996.0,1996.0,AUTOMOVEL
67025,2017,2131,2017-05-05 12:09:58,2017-05-05 14:00:12,2017-05-05 00:00:00,DE MADRUGADA,2017-05-05 00:00:00,Conhecida,Sim,RUA WALDEMAR PANARO,252.0,PARQUE ABILIO PEDRO,LIMEIRA,SP,"-225,541,625,041,001","-474,401,135,064,002",Comércio e serviços,,BO PARA FLAGRANTE,DEL.SEC.LIMEIRA PLANTÃO,02º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DBC0713,SP,LIMEIRA,Branco,VW/13.180,2003.0,2004.0,CAMINHÃO
67039,2017,2113,2017-05-05 08:57:51,2017-05-05 14:26:07,2017-05-05 00:00:00,DE MADRUGADA,2017-05-05 00:00:00,Conhecida,Sim,AVENIDA ANDRÉ LUÍS,500.0,PICANÇO,GUARULHOS,SP,"-234,395,179,805,382","-46,545,630,104,936",Via pública,IC-IML,BO PARA FLAGRANTE,02º D.P. GUARULHOS,02º D.P. GUARULHOS,Localização e/ou Devolução,Entrega de veículo localizado/apreendido,Consumado,CVC6461,SP,GUARULHOS,Cinza,I/RENAULT KANGOO RN 1.0,2000.0,2000.0,CAMIONETA
67053,2017,918,2017-05-05 11:48:14,2017-05-05 14:51:43,2017-05-05 00:00:00,PELA MANHÃ,2017-05-05 00:00:00,Conhecida,Sim,,0.0,,,,,,Residência,IC-IML,BO PARA FLAGRANTE,29º D.P. VILA PRUDENTE,29º D.P. VILA PRUDENTE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,GBX9481,SP,S.PAULO,Preta,HONDA/CG150 START,2016.0,2015.0,MOTOCICLO
67128,2017,2584,2017-06-10 12:23:22,2017-06-10 12:34:38,2017-03-10 00:00:00,PELA MANHÃ,2017-06-10 00:00:00,Desconhecida,Não,RUA DOUTOR PAULO QUEIROZ,741.0,SAO MATEUS,S.PAULO,SP,"-235,887,059,135,395","-464,882,936,547,667",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,55º D.P. PARQUE S.RAFAEL,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,COF7503,SP,S.PAULO,Cinza,VW/GOL,1986.0,1986.0,AUTOMOVEL
67162,2017,1587,2017-06-10 13:33:18,2017-06-10 14:17:02,2017-06-10 00:00:00,PELA MANHÃ,2017-06-10 00:00:00,Desconhecida,Não,RUA MANUEL DE AGUIAR,113.0,JAGUARA,S.PAULO,SP,"-235,091,171,187,289","-467,519,440,776,336",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,03º D.P. OSASCO,33º D.P. PIRITUBA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EQQ3456,SP,S.PAULO,Azul,FIAT/UNO WAY 1.4,2010.0,2011.0,AUTOMOVEL
67185,2017,2707,2017-06-10 14:58:43,2017-06-10 15:02:40,2017-05-10 00:00:00,EM HORA INCERTA,2017-06-10 00:00:00,Desconhecida,Não,RUA ANTÔNIO SANTORO,109.0,JUNDIAÍ MIRIM,JUNDIAI,SP,"-23,147,280,123,549","-468,731,114,428,431",Via pública,,BO PARA INVESTIGAÇÃO,03º D.P. JUNDIAI,03º D.P. JUNDIAI,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CLD6756,SP,JUNDIAI,Cinza,VW/PARATI 16V,1998.0,1999.0,AUTOMOVEL
67203,2017,2467,2017-06-10 15:02:32,2017-06-10 15:32:27,2017-06-21 00:00:00,A NOITE,2017-06-10 00:00:00,Desconhecida,Não,RUA ARAGUAIA,3118.0,PARI,S.PAULO,SP,"-23,522,434,486","-46,616,831,427",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,05º D.P. SANTO ANDRÉ,12º D.P. PARI,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EKJ0369,SP,S.PAULO,Amarelo,HONDA/CB 300R,2010.0,2011.0,MOTOCICLO
67210,2017,5827,2017-11-06 22:44:31,2017-11-06 23:19:26,2017-11-06 00:00:00,A NOITE,2017-11-06 00:00:00,Conhecida,Não,,0.0,,,,,,Via pública,,BO PARA ADENDO,DEL.POL.PRAIA GRANDE,02º D.P. PRAIA GRANDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BOE7655,SP,MONGAGUA,Azul,FIAT/UNO MILLE,1992.0,1992.0,AUTOMOVEL
67229,2017,1686,2017-12-06 03:34:52,2017-12-06 05:07:17,2017-12-06 00:00:00,DE MADRUGADA,2017-12-06 00:00:00,Conhecida,Não,RUA JOSÉ ALVES DA PAIVA,139.0,SANTA INES 2,S.JOSE DOS CAMPOS,SP,"-232,518,658,569,999","-458,065,811,389,999",Via pública,IML,ENCAM FEBEM/V.INFAN.JUVENTUDE,DEL.SEC.POL.SJCAMPOS PL SUL,06º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,LJE1012,SP,S.JOSE DOS CAMPOS,Branco,FIAT/UNO ELETRONIC,1993.0,1993.0,AUTOMOVEL
67330,2017,1273,2017-02-26 15:44:30,2017-02-26 19:47:16,2017-02-26 00:00:00,A TARDE,2017-02-26 00:00:00,Conhecida,Sim,RUA AKIO MORITA,30.0,JARAGUA,S.PAULO,SP,"-2,343,943,802,025","-467,453,150,398,749",Via pública,IC,BO PARA FLAGRANTE,33º D.P. PIRITUBA,46º D.P. PERUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EOH0761,SP,CARAPICUIBA,Prata,HONDA/CG150 FAN ESDI,2011.0,2011.0,MOTOCICLO
67389,2017,2221,2017-02-26 23:55:40,2017-02-27 00:10:33,2017-02-26 00:00:00,DE MADRUGADA,2017-02-26 00:00:00,Desconhecida,Não,AVENIDA 9,112.0,CENTRO,S.GERTRUDES,SP,"-22,460,730,869","-475,376,560,559,999",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.SEC.RIO CLARO PLANTÃO,DEL.POL.SANTA GERTRUDES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BMK3120,SP,LIMEIRA,Azul,FIAT/UNO MILLE,1992.0,1993.0,AUTOMOVEL
67446,2017,1536,2017-06-26 10:06:33,2017-06-26 10:23:12,2017-06-26 00:00:00,PELA MANHÃ,2017-06-26 00:00:00,Desconhecida,Não,RUA SANTANA DO PARAÍSO,790.0,PQ FIGUEIRA,CAMPINAS,SP,"-22,941,236,843","-47,058,908,523",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,09º D.P. CAMPINAS,05º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FLY5608,SP,CAMPINAS,Preta,FIAT/STRADA ADVENTURE CD,2013.0,2013.0,CAMINHONETE
67452,2017,1213,2017-06-26 10:22:58,2017-06-26 10:30:32,2017-06-15 00:00:00,A NOITE,2017-06-26 00:00:00,Desconhecida,Não,AVENIDA FRANCISCO DE PAULA OLIVEIRA NAZA,392.0,PQ INDUSTRIAL,CAMPINAS,SP,"-229,196,159,684,482","-470,861,570,215,517",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,03º D.P. CAMPINAS,03º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CQG9620,SP,CAMPINAS,Vermelho,VW/GOL 16V,1998.0,1999.0,AUTOMOVEL
67470,2017,1875,2017-06-26 10:44:24,2017-06-26 10:58:12,2017-11-06 00:00:00,PELA MANHÃ,2017-06-26 00:00:00,Desconhecida,Não,,0.0,,,,,,Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.ITAPIRA,01º D.P. ITAPIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DLT4115,SP,ITAPIRA,Vermelho,HONDA/NXR125 BROS KS,2004.0,2004.0,MOTOCICLO
67515,2017,8283,2017-12-20 18:21:21,2017-12-20 19:31:24,2017-12-20 00:00:00,A TARDE,2017-12-20 00:00:00,Desconhecida,Não,RUA CANGAMBA,180.0,ITAQUERA,S.PAULO,SP,"-235,362,761,060,857","-464,728,324,797,142",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,53º D.P. PARQUE DO CARMO,64º D.P. CID.AE CARVALHO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FQV6067,SP,S.PAULO,Prata,HYUNDAI/HB20S 1.6M COMF,2014.0,2015.0,AUTOMOVEL
67526,2017,6718,2017-12-20 14:55:10,2017-12-20 19:42:14,2017-12-20 00:00:00,PELA MANHÃ,2017-12-20 00:00:00,Conhecida,Não,AVENIDA LEITAO DA CUNHA,100.0,CAMPO LIMPO,S.PAULO,SP,"-236,369,609,295,658","-467,507,209,955,527",Via pública,,BO PARA INQUÉRITO,37º D.P. CAMPO LIMPO,37º D.P. CAMPO LIMPO,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,FHS7095,SP,GUARULHOS,Vermelho,YAMAHA/YS150 FAZER ED,2013.0,2014.0,MOTOCICLO
67542,2017,8618,2017-12-20 17:55:09,2017-12-20 20:20:09,2017-12-20 00:00:00,A TARDE,2017-12-20 00:00:00,Conhecida,Sim,RUA JARAGUA,100.0,BOM RETIRO,S.PAULO,SP,"-235,247,425,967,777","-466,483,160,128,889",Via pública,IML,BO PARA FLAGRANTE,02º D.P. BOM RETIRO,02º D.P. BOM RETIRO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FQU6701,SP,S.PAULO,Cinza,CHEV/SPIN 1.8L AT LT,2014.0,2014.0,AUTOMOVEL
67566,2017,9406,2017-12-20 18:45:25,2017-12-20 21:44:53,2017-12-20 00:00:00,A TARDE,2017-12-20 00:00:00,Conhecida,Não,,0.0,,,,,,Residência,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.ITAQUAQUECETUBA,DEL.POL.ITAQUAQUECETUBA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,OLS2997,SP,S.PAULO,Branco,FIAT/PALIO FIRE ECONOMY,2012.0,2013.0,AUTOMOVEL
67589,2017,1597,2017-06-21 14:48:49,2017-06-21 15:03:39,2017-05-06 00:00:00,PELA MANHÃ,2017-06-21 00:00:00,Desconhecida,Não,RUA SEBASTIÃO ELISBON,1.0,CONJ. RES. VICTOR D'ANDREA,LIMEIRA,SP,"-225,915,402,236,785","-473,992,518,688,214",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,04º D.P. LIMEIRA,04º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CEG7921,SP,LIMEIRA,Prata,IMP/VW GOL MI,1998.0,1998.0,AUTOMOVEL
67621,2017,2811,2017-06-21 14:42:05,2017-06-21 16:07:19,2017-06-21 00:00:00,PELA MANHÃ,2017-06-21 00:00:00,Desconhecida,Não,RUA VEREADOR NESCLAR FARIA GUIMARAES,511.0,MOGI MODERNO,MOGI DAS CRUZES,SP,"-235,362,704,656,114","-461,903,683,487,261",Via pública,,BO PARA INVESTIGAÇÃO,01º D.P. MOGI DAS CRUZES,01º D.P. MOGI DAS CRUZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FDM1649,SP,MOGI DAS CRUZES,Vermelho,CHEVROLET/CELTA 1.0L LT,2012.0,2013.0,AUTOMOVEL
67627,2017,1837,2017-06-21 15:58:04,2017-06-21 16:17:26,2017-06-21 00:00:00,DE MADRUGADA,2017-06-21 00:00:00,Desconhecida,Não,RUA ÁBRAMO LUCHESI,121.0,FERRAZÓPOLIS,S.BERNARDO DO CAMPO,SP,"-23,723,371,357,235","-465,389,419,852,594",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,06º D.P. S.BERNARDO DO CAMPO,06º D.P. S.BERNARDO DO CAMPO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,COI9600,SP,S.BERNARDO DO CAMPO,Preta,FIAT/PALIO WEEKEND 16V,1997.0,1997.0,AUTOMOVEL
67634,2017,962,2017-06-21 16:11:43,2017-06-21 16:26:33,2017-06-20 00:00:00,A NOITE,2017-06-21 00:00:00,Desconhecida,Não,AVENIDA CIDADE JARDIM,4430.0,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,"-232,474,410,006,243","-458,843,777,468,393",Via pública,IC,BO PARA REGISTRO,07º D.P. S.JOSE DOS CAMPOS,07º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BFQ5505,SP,S.JOSE DOS CAMPOS,Azul,GM/KADETT SL EFI,1991.0,1992.0,AUTOMOVEL
67639,2017,5291,2017-06-21 16:03:57,2017-06-21 16:28:06,2017-06-18 00:00:00,PELA MANHÃ,2017-06-21 00:00:00,Desconhecida,Não,RUA PAULO SETÚBAL,170.0,CEREJEIRAS III GLEBAS,ATIBAIA,SP,"-23,132,082,467,221","-465,858,450,049,966",Estabelecimento industrial,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.PLANTÃO ATIBAIA,03º D.P. ATIBAIA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,GGX0954,SP,S.PAULO,Prata,CHEVROLET/ONIX 10MT JOYE,2016.0,2017.0,AUTOMOVEL
67718,2017,1536,2017-02-15 13:06:44,2017-02-15 13:11:55,2017-10-02 00:00:00,DE MADRUGADA,2017-02-15 00:00:00,Desconhecida,Não,RUA VICENTE CELESTINO,370.0,JARDIM SÍLVIA MARIA,MAUA,SP,"-236,343,191,031,233","-464,764,680,535,677",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,69º D.P. TEOTONIO VILELA,01º D.P. MAUA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CZU0498,SP,MAUA,Prata,GM/CORSA WIND,2000.0,2000.0,AUTOMOVEL
67737,2017,448,2017-02-15 13:44:12,2017-02-15 14:03:56,2017-02-15 00:00:00,PELA MANHÃ,2017-02-15 00:00:00,Desconhecida,Não,RUA FLOR BOREAL,143.0,VILA CURUCA,S.PAULO,SP,"-234,960,757,815,535","-464,142,566,347,321",Via pública,,BO PARA INVESTIGAÇÃO,59º D.P. JARDIM DOS IPES,59º D.P. JARDIM DOS IPES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EJI4079,SP,S.PAULO,Vermelho,GM/PRISMA JOY,2009.0,2010.0,AUTOMOVEL
67790,2017,2200,2017-05-15 14:00:24,2017-05-15 14:29:42,2017-05-15 00:00:00,DE MADRUGADA,2017-05-15 00:00:00,Conhecida,Não,AVENIDA FREDERICO STRAUB,735.0,VL OLIVEIRA,MOGI DAS CRUZES,SP,"-235,259,912,504,393","-461,753,819,477,878",Via pública,,BO PARA INVESTIGAÇÃO,01º D.P. MOGI DAS CRUZES,01º D.P. MOGI DAS CRUZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FML0940,SP,MOGI DAS CRUZES,Azul,VW/NOVO FOX ROCK RIO MB,2015.0,2016.0,AUTOMOVEL
67818,2017,57,2017-05-15 15:08:18,2017-05-15 15:16:21,2017-04-23 00:00:00,A NOITE,2017-05-15 00:00:00,Desconhecida,Não,AVENIDA AMÂNCIO LOPES,0.0,AREA RURAL,SERTAOZINHO,SP,"-21,118,595,833","-479,871,775,789,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.SERTÃOZINHO,DEL.POL.SERTÃOZINHO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,ELZ5609,SP,SERTAOZINHO,Prata,PEUGEOT/206 14 SENSAT FX,2009.0,2010.0,AUTOMOVEL
67828,2017,150,2017-05-15 15:05:21,2017-05-15 15:33:16,2017-05-15 00:00:00,A TARDE,2017-05-15 00:00:00,Desconhecida,Não,RUA DO COBRE,300.0,CIDADE TIRADENTES,S.PAULO,SP,"-235,692,300,994,766","-463,995,975,350,497",Via pública,IC,BO PARA INVESTIGAÇÃO,DEIC - 3ª DELEGACIA DA DIVECAR,44º D.P. GUAIANAZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PUF0734,SP,S.PAULO,Cinza,VW/GOL CITY MC,2014.0,2015.0,AUTOMOVEL
67839,2017,1561,2017-05-15 13:34:06,2017-05-15 15:40:54,2017-05-15 00:00:00,PELA MANHÃ,2017-05-15 00:00:00,Conhecida,Sim,VIADUTO VINTE E TRES,1.0,BOQUEIRAO,PRAIA GRANDE,SP,"-24,013,593,541","-464,128,237,699,999",Via pública,,BO PARA FLAGRANTE,01º D.P. PRAIA GRANDE,01º D.P. PRAIA GRANDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EYY3583,SP,PRAIA GRANDE,Vermelho,HONDA/BIZ 125 KS,2012.0,2012.0,MOTONETA
67850,2017,472,2017-05-15 15:27:49,2017-05-15 15:47:29,2017-05-14 00:00:00,EM HORA INCERTA,2017-05-15 00:00:00,Desconhecida,Não,RUA VINTE E UM DE ABRIL,254.0,MONTE CASTELO,S.JOSE DOS CAMPOS,SP,"-231,792,912,115,234","-458,733,375,309,512",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,05º D.P. S.JOSE DOS CAMPOS,02º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CHF5817,SP,PRESIDENTE PRUDENTE,Branco,GM/MONZA SL/E,1984.0,1984.0,AUTOMOVEL
67860,2017,1900,2017-05-15 15:51:35,2017-05-15 16:08:15,2017-09-05 00:00:00,A TARDE,2017-05-15 00:00:00,Desconhecida,Não,RUA MINISTRO MOREIRA DE ABREU,53.0,FREGUESIA DO O,S.PAULO,SP,"-234,812,108,959,999","-46,689,180,377",Via pública,IC,BO PARA INVESTIGAÇÃO,28º D.P. FREGUESIA DO O,28º D.P. FREGUESIA DO O,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FAG6955,SP,S.PAULO,Prata,HONDA/CIVIC EXS,2012.0,2012.0,AUTOMOVEL
67864,2017,473,2017-05-15 16:08:50,2017-05-15 16:12:21,2017-05-14 00:00:00,EM HORA INCERTA,2017-05-15 00:00:00,Desconhecida,Não,RUA VINTE E UM DE ABRIL,254.0,MONTE CASTELO,S.JOSE DOS CAMPOS,SP,"-231,792,912,115,234","-458,733,375,309,512",Via pública,,BO PARA ADENDO,05º D.P. S.JOSE DOS CAMPOS,02º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CFH5817,SP,S.JOSE DOS CAMPOS,Verde,FIAT/UNO MILLE SX,1997.0,1997.0,AUTOMOVEL
67868,2017,1710,2017-05-03 00:08:53,2017-05-03 01:47:58,2017-04-03 00:00:00,A NOITE,2017-05-03 00:00:00,Conhecida,Não,AVENIDA JOAO PAULO PRIMEIRO,2000.0,BRASILANDIA,S.PAULO,SP,"-234,761,076,128,578","-466,847,066,949,721",Via pública,,ENCAM FEBEM/V.INFAN.JUVENTUDE,72º D.P. VILA PENTEADO,45º D.P. V BRASILANDIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,NOF7500,SP,S.PAULO,Preta,HONDA/CG 125 FAN KS,2011.0,2012.0,MOTOCICLO
67877,2017,1115,2017-05-03 01:28:56,2017-05-03 02:37:12,2017-04-03 00:00:00,DE MADRUGADA,2017-05-03 00:00:00,Conhecida,Não,RUA DOMINGOS DE FREITAS,320.0,SANTO ANDRÉ,LIMEIRA,SP,"-225,741,548,569,999","-473,926,299,239,999",Via pública,,ENCAM FEBEM/V.INFAN.JUVENTUDE,DEL.SEC.LIMEIRA PLANTÃO,01º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DHH3156,SP,LIMEIRA,Prata,VW/GOL SPECIAL,2002.0,2003.0,AUTOMOVEL
67882,2017,948,2017-04-03 22:24:10,2017-05-03 03:24:06,2017-04-03 00:00:00,A NOITE,2017-04-03 00:00:00,Conhecida,Sim,RUA IRMÃOS ALBERNAZ,0.0,SAO LUCAS,TAUBATE,SP,"-230,236,729,219,999","-45,584,878,155",Via pública,IML,BO PARA FLAGRANTE,DEL.SEC.TAUBATE PLANTÃO,02º D.P. TAUBATE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DLJ6211,SP,TAUBATE,Azul,HONDA/CG 125 FAN,2005.0,2005.0,MOTOCICLO
67928,2017,909,2017-05-03 10:55:56,2017-05-03 11:10:21,2017-05-03 00:00:00,PELA MANHÃ,2017-05-03 00:00:00,Conhecida,Não,ESTRADA OTÁVIO DELLA TORRE,1015.0,,FRANCISCO MORATO,SP,"-232,863,995,276,768","-467,591,454,126,539",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JUNDIAI PLANTÃO,DEL.POL.FRANCISCO MORATO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BJH5743,SP,JUNDIAI,Cinza,GM/MONZA SL/E EFI,1992.0,1993.0,AUTOMOVEL
67933,2017,2072,2017-05-03 11:07:03,2017-05-03 11:24:59,2017-04-03 00:00:00,A NOITE,2017-05-03 00:00:00,Desconhecida,Não,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,3000.0,PIRITUBA,S.PAULO,SP,"-23,497,245,607","-46,727,095,172",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,13º D.P. CASA VERDE,87º D.P. V. P. BARRETO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DRZ1765,SP,S.PAULO,Amarelo,HONDA/XR 250 TORNADO,2007.0,2007.0,MOTOCICLO
67947,2017,2345,2017-05-03 11:41:19,2017-05-03 11:54:13,2017-02-26 00:00:00,DE MADRUGADA,2017-05-03 00:00:00,Desconhecida,Não,RUA EDUARDO ALBERTO DE MIRANDA D'AVIZ,354.0,JARDIM MIRANDA D'AVIZ,MAUA,SP,"-236,609,908,856,517","-464,314,332,723,669",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,03º D.P. MAUA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,IEM9187,SP,RIBEIRAO PIRES,Cinza,FIAT/UNO MILLE EP,1996.0,1996.0,AUTOMOVEL
68001,2017,2124,2017-08-29 13:33:37,2017-08-29 14:25:45,2017-08-29 00:00:00,PELA MANHÃ,2017-08-29 00:00:00,Desconhecida,Não,AVENIDA SENADOR VERGUEIRO,141.0,CENTRO,S.BERNARDO DO CAMPO,SP,"-2,369,430,523,664","-465,527,863,874,702",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,05º D.P. SANTO ANDRÉ,01º D.P. S.B.C-DR OMAR CASSIM,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PVU9240,SP,S.BERNARDO DO CAMPO,Vermelho,FIAT/UNO VIVACE 1.0,2015.0,2015.0,AUTOMOVEL
68029,2017,2684,2017-08-29 15:15:52,2017-08-29 15:22:08,2017-08-27 00:00:00,A TARDE,2017-08-29 00:00:00,Desconhecida,Não,AVENIDA ROTARY,200.0,SERRARIA,DIADEMA,SP,"-2,370,116,129,232","-466,126,313,739,674",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,04º D.P. DIADEMA,04º D.P. DIADEMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CIH2681,SP,S.BERNARDO DO CAMPO,Branco,VW/GOL I PLUS,1996.0,1997.0,AUTOMOVEL
68060,2017,1468,2017-08-29 08:25:16,2017-08-29 16:01:58,2017-08-29 00:00:00,DE MADRUGADA,2017-08-29 00:00:00,Desconhecida,Não,RUA ANDRÉ LUIS,120.0,VILA MARIANA,GARCA,SP,"-221,997,013,025","-496,558,394,922,142",Saúde,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.GARÇA,01º D.P. GARÇA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DCL0452,SP,GARCA,Verde,HONDA/CG 125 TITAN KS,2001.0,2001.0,MOTOCICLO
68068,2017,1937,2017-08-29 15:37:00,2017-08-29 16:10:03,2017-08-29 00:00:00,A TARDE,2017-08-29 00:00:00,Desconhecida,Não,RUA CASTRO ALVES,91.0,EMBARE,SANTOS,SP,"-239,675,101,759,821","-463,159,896,915,536",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,03º D.P. SANTOS,03º D.P. SANTOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,OYA0110,SP,GUARUJA,Prata,HYUNDAI/TUCSON GLSB,2013.0,2014.0,CAMIONETA
68082,2017,2131,2017-08-29 16:02:24,2017-08-29 16:28:20,2017-08-29 00:00:00,PELA MANHÃ,2017-08-29 00:00:00,Desconhecida,Não,RUA CORONEL SEABRA,2060.0,VILA LINDA,S.ANDRE,SP,"-236,837,784,008,695","-465,190,777,125,217",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,05º D.P. SANTO ANDRÉ,03º D.P. SANTO ANDRÉ,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EVD6378,SP,S.ANDRE,Vermelho,FORD/FIESTA FLEX,2011.0,2012.0,AUTOMOVEL
68095,2017,3138,2017-02-06 14:11:50,2017-02-06 15:53:32,2017-02-06 00:00:00,PELA MANHÃ,2017-02-06 00:00:00,Desconhecida,Não,RUA INUBIa paulista,0.0,CUMBICA,GUARULHOS,SP,"-234,591,512,224,225","-46,483,633,064,708",Via pública,IC,BO PARA REGISTRO,01º D.P. GUARULHOS,03º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,GFW5947,SP,GUARULHOS,Prata,CHEV/PRISMA 1.0MT LT,2016.0,2016.0,AUTOMOVEL
68128,2017,1468,2017-02-06 16:50:41,2017-02-06 16:55:03,2017-01-06 00:00:00,A NOITE,2017-02-06 00:00:00,Desconhecida,Não,RUA SANTO IVO,100.0,CASA GRANDE,DIADEMA,SP,"-23,699,004,627,784","-465,975,497,919,642",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,02º D.P. DIADEMA,02º D.P. DIADEMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DCL1607,SP,DIADEMA,Vermelho,VW/GOL CLI 1.8,1996.0,1996.0,AUTOMOVEL
